time, target_rps, rps, pwm
0.01, 0, 0.0, 0
0.02, 6.0, 0.0, 5097
0.03, 12.0, 0.0, 8252
0.04, 18.0, 2.083333, 10971
0.05, 24.0, 3.333333, 13989
0.06, 30.0, 8.333334, 16107
0.06999999, 35.4, 32.40741, 12923
0.07999999, 41.4, 33.33334, 15925
0.08999998, 47.4, 37.5, 18152
0.09999999, 50.0, 37.5, 19663
0.11, 50.0, 50.0, 16521
0.12, 50.0, 50.0, 16508
0.13, 50.0, 50.0, 16497
0.14, 50.0, 50.0, 16489
0.15, 50.0, 50.0, 16482
0.16, 50.0, 50.0, 16476
0.17, 50.0, 50.0, 16472
0.18, 50.0, 50.0, 16468
0.19, 50.0, 50.0, 16465
0.2, 50.0, 50.0, 16463
0.21, 50.0, 50.0, 16461
0.22, 50.0, 50.0, 16460
0.23, 50.0, 50.0, 16459
0.24, 50.0, 50.0, 16458
0.25, 50.0, 58.33333, 14269
0.26, 50.0, 50.0, 16352
0.27, 50.0, 50.0, 16351
0.28, 50.0, 50.0, 16351
0.29, 50.0, 50.0, 16350
0.3, 50.0, 50.0, 16350
0.31, 50.0, 50.0, 16350
0.32, 50.0, 50.0, 16350
0.3299999, 50.0, 50.0, 16350
0.3399999, 50.0, 50.0, 16350
0.3499999, 50.0, 50.0, 16350
0.3599999, 50.0, 50.0, 16349
0.3699999, 50.0, 50.0, 16349
0.3799999, 50.0, 50.0, 16349
0.3899999, 50.0, 50.0, 16349
0.3999999, 50.0, 50.0, 16349
0.4099999, 50.0, 50.0, 16349
0.4199999, 50.0, 50.0, 16349
0.4299999, 50.0, 50.0, 16349
0.4399999, 50.0, 50.0, 16349
0.4499999, 50.0, 50.0, 16349
0.4599998, 50.0, 50.0, 16349
0.4699998, 50.0, 50.0, 16349
0.4799998, 50.0, 50.0, 16349
0.4899998, 50.0, 50.0, 16349
0.4999998, 50.0, 50.0, 16349
0.5099998, 50.0, 50.0, 16349
0.5199998, 50.0, 50.0, 16349
0.5299998, 50.0, 58.33333, 14161
0.5399998, 50.0, 50.0, 16244
0.5499998, 50.0, 50.0, 16244
0.5599998, 50.0, 50.0, 16244
0.5699997, 50.0, 50.0, 16244
0.5799997, 50.0, 50.0, 16244
0.5899997, 50.0, 50.0, 16244
0.5999997, 50.0, 45.45454, 17443
0.6099997, 50.0, 50.0, 16306
0.6199997, 50.0, 50.0, 16306
0.6299997, 50.0, 55.55556, 14854
0.6399997, 50.0, 50.0, 16243
0.6499997, 50.0, 50.0, 16243
0.6599997, 50.0, 45.83334, 17337
0.6699996, 50.0, 58.33333, 14107
0.6799996, 50.0, 50.0, 16190
0.6899996, 50.0, 50.0, 16190
0.6999996, 50.0, 50.0, 16190
0.7099996, 50.0, 50.0, 16190
0.7199996, 50.0, 50.0, 16190
0.7299996, 50.0, 45.83334, 17284
0.7399996, 50.0, 58.33333, 14054
0.7499996, 50.0, 50.0, 16137
0.7599996, 50.0, 50.0, 16137
0.7699996, 50.0, 50.0, 16137
0.7799995, 50.0, 50.0, 16137
0.7899995, 50.0, 50.0, 16137
0.7999995, 50.0, 50.0, 16137
0.8099996, 50.0, 50.0, 16137
0.8199995, 50.0, 45.83334, 17231
0.8299995, 50.0, 58.33333, 14001
0.8399995, 50.0, 50.0, 16084
0.8499995, 50.0, 45.83334, 17178
0.8599995, 50.0, 45.45454, 17335
0.8699995, 50.0, 55.55556, 14746
0.8799994, 50.0, 50.0, 16135
0.8899995, 50.0, 50.0, 16135
0.8999994, 50.0, 50.0, 16135
0.9099995, 50.0, 50.0, 16135
0.9199994, 50.0, 50.0, 16135
0.9299994, 50.0, 45.83334, 17229
0.9399994, 50.0, 50.0, 16187
0.9499994, 50.0, 50.0, 16187
0.9599994, 50.0, 58.33333, 13999
0.9699994, 50.0, 50.0, 16082
0.9799994, 50.0, 50.0, 16082
0.9899994, 50.0, 45.45454, 17281
0.9999993, 50.0, 55.55556, 14692
1.009999, 50.0, 50.0, 16081
1.019999, 50.0, 50.0, 16081
